iter	Passed	Remaining
0	81	18827
1	170	19634
2	313	23939
3	442	25212
4	616	27968
5	719	27104
6	841	27052
7	939	26315
8	1058	26228
9	1174	26070
10	1269	25511
11	1380	25300
12	1469	24755
13	1580	24612
14	1700	24596
15	1839	24826
16	2043	25844
17	2179	25906
18	2268	25431
19	2376	25186
20	2426	24380
21	2484	23719
22	2569	23350
23	2617	22687
24	2666	22076
25	2741	21718
26	2816	21382
27	2888	21043
28	2950	20655
29	3019	20334
30	3088	20025
31	3125	19533
32	3194	19261
33	3268	19033
34	3335	18773
35	3411	18576
36	3476	18320
37	3527	18008
38	3552	17581
39	3619	17372
40	3685	17167
41	3726	16859
42	3795	16681
43	3859	16489
44	3927	16320
45	3999	16172
46	4032	15872
47	4057	15555
48	4125	15409
49	4193	15264
50	4253	15096
51	4318	14949
52	4382	14800
53	4443	14648
54	4488	14443
55	4554	14314
56	4619	14181
57	4678	14036
58	4742	13907
59	4811	13792
60	4836	13558
61	4871	13357
62	4940	13251
63	5007	13145
64	5069	13024
65	5130	12903
66	5197	12799
67	5245	12651
68	5308	12541
69	5368	12424
70	5431	12317
71	5496	12214
72	5559	12110
73	5617	11994
74	5678	11887
75	5738	11779
76	5767	11609
77	5825	11501
78	5899	11425
79	5984	11370
80	6072	11320
81	6100	11158
82	6195	11121
83	6269	11047
84	6298	10893
85	6389	10846
86	6523	10871
87	6614	10823
88	6681	10735
89	6779	10696
90	6828	10580
91	6913	10520
92	7007	10473
93	7098	10420
94	7180	10354
95	7255	10278
96	7330	10202
97	7410	10133
98	7485	10056
99	7559	9978
100	7640	9909
101	7716	9835
102	7788	9754
103	7853	9666
104	7918	9577
105	7978	9483
106	8039	9391
107	8105	9306
108	8167	9216
109	8231	9129
110	8293	9040
111	8351	8948
112	8406	8852
113	8474	8772
114	8541	8690
115	8613	8613
116	8676	8528
117	8744	8448
118	8818	8373
119	8887	8294
120	8962	8221
121	9033	8145
122	9095	8059
123	9156	7974
124	9231	7902
125	9448	7948
126	9667	7992
127	9884	8031
128	10083	8050
129	10188	7994
130	10277	7923
131	10361	7849
132	10438	7769
133	10520	7694
134	10594	7612
135	10663	7526
136	10723	7436
137	10781	7343
138	10844	7255
139	10902	7164
140	10974	7082
141	11035	6994
142	11097	6906
143	11162	6821
144	11226	6735
145	11289	6649
146	11357	6566
147	11419	6481
148	11478	6394
149	11548	6313
150	11623	6234
151	11685	6150
152	11742	6063
153	11804	5978
154	11862	5892
155	11919	5807
156	11981	5723
157	12042	5640
158	12100	5555
159	12159	5471
160	12212	5385
161	12276	5304
162	12338	5223
163	12397	5140
164	12456	5057
165	12512	4974
166	12575	4894
167	12639	4815
168	12695	4732
169	12753	4651
170	12808	4568
171	12875	4491
172	12944	4414
173	13015	4338
174	13080	4260
175	13146	4182
176	13210	4105
177	13284	4030
178	13354	3954
179	13416	3875
180	13480	3798
181	13548	3722
182	13615	3645
183	13674	3567
184	13738	3490
185	13805	3414
186	13864	3336
187	13920	3258
188	13983	3181
189	14049	3105
190	14115	3029
191	14181	2954
192	14237	2876
193	14301	2801
194	14360	2724
195	14424	2649
196	14482	2573
197	14540	2496
198	14598	2420
199	14701	2352
200	14759	2276
201	14818	2200
202	14876	2125
203	14932	2049
204	14989	1974
205	15051	1899
206	15118	1825
207	15184	1752
208	15250	1678
209	15344	1607
210	15411	1533
211	15480	1460
212	15537	1386
213	15596	1311
214	15661	1238
215	15720	1164
216	15779	1090
217	15838	1017
218	15897	943
219	15969	871
220	16046	798
221	16125	726
222	16197	653
223	16271	581
224	16343	508
225	16419	435
226	16485	363
227	16550	290
228	16618	217
229	16681	145
230	16743	72
231	16806	0
